Tempo,Spectral Centroid,Spectral Bandwidth,Chroma Features,Zero Crossing Rate
123.0,2123.0,2283.1,0.35012853,0.06
68.0,886.9,1322.6,0.3408494,0.02
161.5,1510.2,1480.5,0.3635377,0.05
63.0,694.2,1162.3,0.4048544,0.01
136.0,1367.5,1544.3,0.30852592,0.04
69.8,1736.2,2150.8,0.30252188,0.04
71.8,1397.0,1504.1,0.29142603,0.04
92.3,1757.6,1912.7,0.3073716,0.04
83.4,1588.9,1806.3,0.40891293,0.04
80.7,1774.1,1761.1,0.27396768,0.04
95.7,1904.5,1983.2,0.25236055,0.06
112.3,2043.0,1709.0,0.21497738,0.08
99.4,1329.4,1516.5,0.27789357,0.04
71.8,1476.1,1507.9,0.23422067,0.05
161.5,1671.0,1876.9,0.22151814,0.05
143.6,1544.8,1542.6,0.26850644,0.04
99.4,1648.3,1687.1,0.26142842,0.05
215.3,1663.4,1915.1,0.2765986,0.04
136.0,1623.0,1900.1,0.25473845,0.04
234.9,1480.8,1881.5,0.2705581,0.03
86.1,2823.0,3167.3,0.3839297,0.02
129.2,3166.7,2952.4,0.41405427,0.08
83.4,2642.4,2810.3,0.29707795,0.06
161.5,1343.8,1861.5,0.3769877,0.03
117.5,3148.1,2659.4,0.38276425,0.06
129.2,2076.9,2204.9,0.4160544,0.06
112.3,2048.4,2555.2,0.42160282,0.03
103.4,2281.6,2615.4,0.42144918,0.05
66.3,2780.2,2765.7,0.3553377,0.08
95.7,3529.6,3103.6,0.42960963,0.1
117.5,1626.1,2018.9,0.44557786,0.04
117.5,3084.6,2809.8,0.4105666,0.09
92.3,3780.2,3677.0,0.41199335,0.07
129.2,2904.1,3144.0,0.49516726,0.03
123.0,2790.7,2858.7,0.38212395,0.06
107.7,2299.2,2441.9,0.44803384,0.06
123.0,2359.6,2269.8,0.4740416,0.07
129.2,2266.7,2427.5,0.43158314,0.06
123.0,2559.1,2406.0,0.45429054,0.07
129.2,3213.3,2975.9,0.44217622,0.09
117.5,3147.7,2415.5,0.4607935,0.1
92.3,2637.5,2007.4,0.45720747,0.08
99.4,1455.1,2241.8,0.40424505,0.03
92.3,1935.1,2220.6,0.46724448,0.04
95.7,864.3,2016.5,0.44934252,0.002
71.8,3806.3,3009.8,0.49074373,0.1
99.4,2006.8,2710.3,0.46427462,0.01
123.0,1425.9,1965.4,0.4326593,0.03
172.3,3009.4,2415.7,0.45361176,0.1
103.4,2476.2,2292.6,0.56058854,0.06
123.0,1840.1,2203.8,0.34445783,0.05
136.0,593.1,923.6,0.3280331,0.02
152.0,1052.5,1296.7,0.26775157,0.03
92.3,977.2,1604.7,0.3193743,0.01
64.6,1490.8,1649.6,0.1718965,0.04
107.7,1324.0,1563.9,0.24822195,0.03
136.0,951.2,1398.1,0.27480838,0.02
61.5,824.8,1257.4,0.19718061,0.02
107.7,1670.9,1921.8,0.35731745,0.02
107.7,1066.5,1837.4,0.2669193,0.02
95.7,3586.6,2843.9,0.48770425,0.1
78.3,2906.8,2567.7,0.47688583,0.08
112.3,1971.9,1731.8,0.43276265,0.07
99.4,2600.3,2364.3,0.48765793,0.07
136.0,3738.5,3101.7,0.6347416,0.1
152.0,1790.2,2278.5,0.42260766,0.04
123.0,3202.8,2704.2,0.43394187,0.1
152.0,3137.2,2528.9,0.58147556,0.1
117.5,2206.4,2365.0,0.46665144,0.04
112.3,2146.3,2380.4,0.5270015,0.06
89.1,1812.5,3085.7,0.38965365,0.009
107.7,3696.8,3519.8,0.41301456,0.03
83.4,2951.8,3681.8,0.41781056,0.03
92.3,3016.6,3558.6,0.40990362,0.07
107.7,1861.5,2382.9,0.38440344,0.04
172.3,1665.0,2521.0,0.32321793,0.03
92.3,1663.8,2021.0,0.37445438,0.03
129.2,2734.0,2719.7,0.25170588,0.05
172.3,2063.7,2964.5,0.4037154,0.02
107.7,2811.5,2991.1,0.45465812,0.06
123.0,2390.5,2465.3,0.3290434,0.06
152.0,2268.6,2448.6,0.34906498,0.06
103.4,2646.6,2371.1,0.37839317,0.08
143.6,1375.0,1573.1,0.39144024,0.04
123.0,1312.5,1793.1,0.40185693,0.03
161.5,1726.5,1977.8,0.3648397,0.04
76.0,1413.5,1736.8,0.34250066,0.04
152.0,1932.7,2121.8,0.3860112,0.05
95.7,1188.2,1808.4,0.36883888,0.02
161.5,1089.8,1917.8,0.3830682,0.005
123.0,1936.8,2256.9,0.38743302,0.04
152.0,1981.0,2093.5,0.36540437,0.04
107.7,1866.5,1546.9,0.43678036,0.07
95.7,1126.8,1859.3,0.38011256,0.01
103.4,2615.2,2902.2,0.37182286,0.04
99.4,1493.4,1637.7,0.37675807,0.04
112.3,1136.5,1686.3,0.34448433,0.02
89.1,1151.9,1631.7,0.35912547,0.02
89.1,1723.5,1971.5,0.40886402,0.04
76.0,1658.9,1779.3,0.37620473,0.03
